Date,DataDomain,Market,RecordsChecked,CompletenessPct,DuplicationPct,ErrorRatePct,Incidents,Escalations
2023-01-01,Client,France,8860,0.917,0.049,0.02,9,2
2023-01-01,Client,Italy,13334,0.905,0.053,0.02,7,2
2023-01-01,Client,USA,9685,0.905,0.046,0.028,1,3
2023-01-01,Client,UAE,14420,0.956,0.041,0.005,8,0
2023-01-01,Client,Japan,8474,0.955,0.017,0.012,14,2
2023-01-01,Product,France,9899,0.946,0.04,0.006,2,4
2023-01-01,Product,Italy,10888,0.906,0.057,0.029,1,1
2023-01-01,Product,USA,10824,0.901,0.022,0.011,11,3
2023-01-01,Product,UAE,10556,0.975,0.019,0.015,1,3
2023-01-01,Product,Japan,11073,0.938,0.02,0.019,12,1
2023-01-01,Pricing,France,14873,0.94,0.03,0.028,14,3
2023-01-01,Pricing,Italy,9016,0.987,0.052,0.024,14,4
2023-01-01,Pricing,USA,12887,0.932,0.024,0.019,8,4
2023-01-01,Pricing,UAE,10062,0.915,0.011,0.016,0,3
2023-01-01,Pricing,Japan,10695,0.9,0.051,0.023,2,2
2023-01-01,SupplyChain,France,14432,0.955,0.056,0.021,11,0
2023-01-01,SupplyChain,Italy,13959,0.94,0.015,0.014,13,4
2023-01-01,SupplyChain,USA,14242,0.953,0.024,0.019,2,4
2023-01-01,SupplyChain,UAE,13581,0.976,0.046,0.011,13,2
2023-01-01,SupplyChain,Japan,12488,0.964,0.016,0.016,2,0
2023-01-01,Finance,France,8563,0.951,0.045,0.008,6,4
2023-01-01,Finance,Italy,9678,0.968,0.021,0.007,10,2
2023-01-01,Finance,USA,11157,0.979,0.041,0.012,4,3
2023-01-01,Finance,UAE,13147,0.92,0.031,0.027,9,3
2023-01-01,Finance,Japan,13592,0.929,0.016,0.011,13,0
2023-02-01,Client,France,10675,0.932,0.025,0.009,10,0
2023-02-01,Client,Italy,12413,0.92,0.016,0.013,14,2
2023-02-01,Client,USA,11445,0.92,0.038,0.015,13,0
2023-02-01,Client,UAE,14585,0.987,0.023,0.017,0,4
2023-02-01,Client,Japan,11696,0.99,0.023,0.029,11,4
2023-02-01,Product,France,13855,0.982,0.022,0.009,11,1
2023-02-01,Product,Italy,13791,0.95,0.04,0.007,7,2
2023-02-01,Product,USA,12496,0.966,0.028,0.021,5,2
2023-02-01,Product,UAE,11582,0.908,0.052,0.013,5,4
2023-02-01,Product,Japan,9794,0.953,0.044,0.005,2,2
2023-02-01,Pricing,France,11219,0.958,0.019,0.022,6,1
2023-02-01,Pricing,Italy,10919,0.912,0.027,0.008,6,1
2023-02-01,Pricing,USA,13730,0.921,0.019,0.03,3,3
2023-02-01,Pricing,UAE,12976,0.922,0.015,0.027,4,2
2023-02-01,Pricing,Japan,10056,0.925,0.045,0.026,3,0
2023-02-01,SupplyChain,France,11991,0.977,0.057,0.025,7,3
2023-02-01,SupplyChain,Italy,8253,0.901,0.015,0.022,12,1
2023-02-01,SupplyChain,USA,14015,0.927,0.034,0.016,12,0
2023-02-01,SupplyChain,UAE,12067,0.964,0.022,0.013,3,2
2023-02-01,SupplyChain,Japan,12496,0.928,0.037,0.018,5,4
2023-02-01,Finance,France,8562,0.98,0.042,0.025,13,0
2023-02-01,Finance,Italy,14427,0.96,0.053,0.011,2,3
2023-02-01,Finance,USA,12642,0.969,0.012,0.03,13,4
2023-02-01,Finance,UAE,9069,0.982,0.029,0.005,7,4
2023-02-01,Finance,Japan,14640,0.95,0.039,0.03,3,4
2023-03-01,Client,France,8980,0.917,0.023,0.017,1,0
2023-03-01,Client,Italy,13854,0.976,0.057,0.007,1,1
2023-03-01,Client,USA,8154,0.927,0.026,0.026,8,2
2023-03-01,Client,UAE,12341,0.932,0.025,0.025,2,1
2023-03-01,Client,Japan,13016,0.955,0.014,0.005,3,4
2023-03-01,Product,France,12115,0.958,0.045,0.025,11,2
2023-03-01,Product,Italy,14614,0.902,0.039,0.016,14,2
2023-03-01,Product,USA,11736,0.914,0.059,0.026,9,0
2023-03-01,Product,UAE,9715,0.903,0.025,0.018,4,0
2023-03-01,Product,Japan,14407,0.969,0.021,0.021,3,4
2023-03-01,Pricing,France,8991,0.948,0.037,0.021,3,4
2023-03-01,Pricing,Italy,12465,0.946,0.026,0.025,14,2
2023-03-01,Pricing,USA,11675,0.967,0.023,0.01,13,0
2023-03-01,Pricing,UAE,9931,0.937,0.019,0.009,1,0
2023-03-01,Pricing,Japan,12583,0.984,0.042,0.018,14,4
2023-03-01,SupplyChain,France,14933,0.966,0.012,0.019,2,4
2023-03-01,SupplyChain,Italy,10744,0.931,0.015,0.007,13,3
2023-03-01,SupplyChain,USA,12548,0.943,0.015,0.017,6,3
2023-03-01,SupplyChain,UAE,13408,0.942,0.042,0.006,5,4
2023-03-01,SupplyChain,Japan,10849,0.923,0.011,0.028,0,4
2023-03-01,Finance,France,12611,0.955,0.057,0.029,11,2
2023-03-01,Finance,Italy,8851,0.952,0.029,0.021,0,4
2023-03-01,Finance,USA,10738,0.974,0.041,0.026,7,1
2023-03-01,Finance,UAE,9066,0.918,0.013,0.008,1,4
2023-03-01,Finance,Japan,10546,0.956,0.027,0.021,12,1
2023-04-01,Client,France,9625,0.931,0.023,0.017,9,4
2023-04-01,Client,Italy,13745,0.957,0.054,0.023,4,4
2023-04-01,Client,USA,10808,0.949,0.031,0.019,2,0
2023-04-01,Client,UAE,9122,0.937,0.029,0.024,7,4
2023-04-01,Client,Japan,11851,0.939,0.048,0.024,8,0
2023-04-01,Product,France,11952,0.945,0.051,0.013,10,2
2023-04-01,Product,Italy,14320,0.905,0.058,0.026,8,3
2023-04-01,Product,USA,8717,0.961,0.034,0.017,4,4
2023-04-01,Product,UAE,12491,0.93,0.044,0.024,6,0
2023-04-01,Product,Japan,9062,0.908,0.035,0.006,14,1
2023-04-01,Pricing,France,9156,0.966,0.037,0.023,14,3
2023-04-01,Pricing,Italy,8953,0.956,0.015,0.007,12,1
2023-04-01,Pricing,USA,13512,0.974,0.045,0.007,4,2
2023-04-01,Pricing,UAE,11719,0.934,0.029,0.025,14,0
2023-04-01,Pricing,Japan,9324,0.968,0.029,0.007,12,3
2023-04-01,SupplyChain,France,13301,0.963,0.022,0.013,13,2
2023-04-01,SupplyChain,Italy,12268,0.901,0.033,0.006,11,4
2023-04-01,SupplyChain,USA,8894,0.958,0.047,0.02,13,0
2023-04-01,SupplyChain,UAE,9214,0.943,0.014,0.018,4,1
2023-04-01,SupplyChain,Japan,11627,0.988,0.038,0.013,5,4
2023-04-01,Finance,France,12298,0.983,0.023,0.022,8,1
2023-04-01,Finance,Italy,14190,0.957,0.045,0.016,4,2
2023-04-01,Finance,USA,10703,0.966,0.056,0.029,7,3
2023-04-01,Finance,UAE,8667,0.93,0.018,0.021,7,1
2023-04-01,Finance,Japan,8539,0.907,0.059,0.03,5,0
2023-05-01,Client,France,13320,0.928,0.051,0.022,12,4
2023-05-01,Client,Italy,9581,0.907,0.057,0.015,4,0
2023-05-01,Client,USA,14593,0.907,0.054,0.019,4,0
2023-05-01,Client,UAE,12469,0.973,0.059,0.009,4,1
2023-05-01,Client,Japan,12158,0.935,0.051,0.019,0,1
2023-05-01,Product,France,10152,0.937,0.024,0.006,5,3
2023-05-01,Product,Italy,10000,0.948,0.047,0.028,6,4
2023-05-01,Product,USA,11636,0.985,0.052,0.011,13,0
2023-05-01,Product,UAE,13997,0.923,0.024,0.01,0,0
2023-05-01,Product,Japan,12583,0.956,0.028,0.008,9,1
2023-05-01,Pricing,France,8673,0.943,0.052,0.013,0,3
2023-05-01,Pricing,Italy,8388,0.908,0.05,0.02,14,4
